school_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,DEBATING AND ORATORICAL SOCIETY,SRJC DEBATES
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,LIBRARY COUNCIL,ICRAFT CLUB
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,OUTDOOR ACTIVITIES CLUB,ODAC
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,PHOTOGRAPHIC SOCIETY,PHOTOGRAPHIC SOCIETY
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,STUDENTS' COUNCIL,STUDENT COUNCIL
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,SCIENCE SOCIETY,S*STAR
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,COMMUNITY SERVICE CLUB,COMMUNITY CHAMPIONS COUNCIL
SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,HEALTH AND FITNESS - GENERAL,PILATES
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,BASKETBALL (BOYS)
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,HOCKEY,HOCKEY (GIRLS)
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,NETBALL (GIRLS)
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TABLE TENNIS,na
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TAEKWONDO,na
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FLOORBALL,FLOORBALL (BOYS)
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TEN-PIN BOWLING,na
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TOUCH RUGBY,TOUCH RUGBY (GIRLS)
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FRISBEE,ULTIMATE FRISBEE
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,BAND - SYMPHONIC,SYMPHONIC BAND
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DANCE - MODERN,MODERN DANCE CLUB
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DRAMA - CHINESE,CHINESE CULTURAL SOCIETY
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,AUDIO & VIDEO/ PA CLUB,AUDIO VISUAL CLUB
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,CHESS CLUB,na
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,HORTICULTURE CLUB,ECO CLUB
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,INTERACT CLUB,na
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,OUTDOOR ACTIVITIES CLUB,ODAC
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,IT CLUB,INFOCOMM CLUB
PIONEER JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,MEDIA CLUB,PIONEER PRESS
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,AIR RIFLE / SHOOTING,SHOOTING
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,ARCHERY,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,CANOEING/ROWING/DRAGON BOAT,PADDLERS CLUB
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,ROCKWALL CLIMBING,ROCKCLIMBING
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FOOTBALL,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SQUASH,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TABLE TENNIS,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TAEKWONDO,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,WUSHU,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FLOORBALL,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ORCHESTRA - CHINESE,CHINESE ORCHESTRA
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ENSEMBLE - GUITAR,GUITAR ENSEMBLE
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,BAND - SYMPHONIC,BAND
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DRAMA - ENGLISH,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,DEBATING AND ORATORICAL SOCIETY,DEBATES SOCIETY
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,HEALTH AND FITNESS CLUB,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,OUTDOOR ACTIVITIES CLUB,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,PHOTOGRAPHIC SOCIETY,PHOTOGRAPHY CLUB
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,DANCE SOCIETY,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,MEDIA RESOURCE CLUB,na
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,INTELLECTUAL GAMES CLUB,INTERACTIVE GAMES CLUB
MERIDIAN JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,SERVICE LEARNING CLUB,na
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,AIR RIFLE / SHOOTING,SHOOTING
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,na
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FOOTBALL,na
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TRACK & FIELD,na
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FLOORBALL,na
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FRISBEE,na
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na
INNOVA JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,BAND - SYMPHONIC,SYMPHONIC BAND
